timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674044256375,1920,HTTP Request,200,OK,Thread_Group_1 1-42,text,true,,119681,119,50,50,https://www.w3schools.com/,1574,0,1309
1674044255457,2851,HTTP Request,200,OK,Thread_Group_1 1-21,text,true,,119681,119,49,49,https://www.w3schools.com/,2513,0,2238
1674044255259,3077,HTTP Request,200,OK,Thread_Group_1 1-16,text,true,,119681,119,48,48,https://www.w3schools.com/,2694,0,2425
1674044256528,1808,HTTP Request,200,OK,Thread_Group_1 1-48,text,true,,119681,119,48,48,https://www.w3schools.com/,1455,0,1149
1674044255337,3014,HTTP Request,200,OK,Thread_Group_1 1-18,text,true,,119681,119,46,46,https://www.w3schools.com/,2595,0,2361
1674044256151,2401,HTTP Request,200,OK,Thread_Group_1 1-36,text,true,,119681,119,45,45,https://www.w3schools.com/,1788,0,1510
1674044256232,2327,HTTP Request,200,OK,Thread_Group_1 1-37,text,true,,119681,119,44,44,https://www.w3schools.com/,1985,0,1452
1674044256363,2202,HTTP Request,200,OK,Thread_Group_1 1-41,text,true,,119681,119,43,43,https://www.w3schools.com/,1752,0,1307
1674044255098,3472,HTTP Request,200,OK,Thread_Group_1 1-12,text,true,,119681,119,42,42,https://www.w3schools.com/,3014,0,2570
1674044255045,3537,HTTP Request,200,OK,Thread_Group_1 1-7,text,true,,119681,119,41,41,https://www.w3schools.com/,2877,0,2625
1674044255045,3541,HTTP Request,200,OK,Thread_Group_1 1-5,text,true,,119681,119,40,40,https://www.w3schools.com/,2752,0,2619
1674044255737,2895,HTTP Request,200,OK,Thread_Group_1 1-28,text,true,,119681,119,39,39,https://www.w3schools.com/,2229,0,1947
1674044255057,3576,HTTP Request,200,OK,Thread_Group_1 1-11,text,true,,119681,119,38,38,https://www.w3schools.com/,3089,0,2613
1674044255939,2700,HTTP Request,200,OK,Thread_Group_1 1-33,text,true,,119681,119,37,37,https://www.w3schools.com/,2040,0,1721
1674044255773,2885,HTTP Request,200,OK,Thread_Group_1 1-29,text,true,,119681,119,36,36,https://www.w3schools.com/,2125,0,1892
1674044255634,3056,HTTP Request,200,OK,Thread_Group_1 1-25,text,true,,119681,119,35,35,https://www.w3schools.com/,2165,0,2051
1674044255849,2896,HTTP Request,200,OK,Thread_Group_1 1-31,text,true,,119681,119,34,34,https://www.w3schools.com/,2435,0,1763
1674044255651,3101,HTTP Request,200,OK,Thread_Group_1 1-26,text,true,,119681,119,33,33,https://www.w3schools.com/,2525,0,1961
1674044255424,3328,HTTP Request,200,OK,Thread_Group_1 1-20,text,true,,119681,119,33,33,https://www.w3schools.com/,2879,0,2250
1674044255047,3712,HTTP Request,200,OK,Thread_Group_1 1-9,text,true,,119681,119,31,31,https://www.w3schools.com/,2941,0,2564
1674044256465,2307,HTTP Request,200,OK,Thread_Group_1 1-46,text,true,,119681,119,30,30,https://www.w3schools.com/,1800,0,1172
1674044256250,2535,HTTP Request,200,OK,Thread_Group_1 1-38,text,true,,119681,119,29,29,https://www.w3schools.com/,2153,0,1361
1674044255889,2910,HTTP Request,200,OK,Thread_Group_1 1-32,text,true,,119681,119,28,28,https://www.w3schools.com/,2191,0,1747
1674044255297,3523,HTTP Request,200,OK,Thread_Group_1 1-17,text,true,,119681,119,27,27,https://www.w3schools.com/,2778,0,2377
1674044256568,2268,HTTP Request,200,OK,Thread_Group_1 1-49,text,true,,119681,119,26,26,https://www.w3schools.com/,1411,0,1112
1674044256425,2433,HTTP Request,200,OK,Thread_Group_1 1-45,text,true,,119681,119,25,25,https://www.w3schools.com/,1590,0,1252
1674044256607,2283,HTTP Request,200,OK,Thread_Group_1 1-50,text,true,,119681,119,24,24,https://www.w3schools.com/,1314,0,1077
1674044255046,3857,HTTP Request,200,OK,Thread_Group_1 1-4,text,true,,119681,119,23,23,https://www.w3schools.com/,3467,0,2565
1674044255213,3691,HTTP Request,200,OK,Thread_Group_1 1-15,text,true,,119681,119,23,23,https://www.w3schools.com/,2579,0,2436
1674044255148,3825,HTTP Request,200,OK,Thread_Group_1 1-13,text,true,,119681,119,21,21,https://www.w3schools.com/,3280,0,2463
1674044256388,2591,HTTP Request,200,OK,Thread_Group_1 1-44,text,true,,119681,119,20,20,https://www.w3schools.com/,2073,0,1223
1674044255047,3955,HTTP Request,200,OK,Thread_Group_1 1-10,text,true,,119681,119,19,19,https://www.w3schools.com/,3411,0,2564
1674044255513,3501,HTTP Request,200,OK,Thread_Group_1 1-22,text,true,,119681,119,18,18,https://www.w3schools.com/,2662,0,2174
1674044255045,4003,HTTP Request,200,OK,Thread_Group_1 1-8,text,true,,119681,119,17,17,https://www.w3schools.com/,3043,0,2567
1674044256016,3040,HTTP Request,200,OK,Thread_Group_1 1-35,text,true,,119681,119,16,16,https://www.w3schools.com/,2424,0,1596
1674044255045,4159,HTTP Request,200,OK,Thread_Group_1 1-6,text,true,,119681,119,15,15,https://www.w3schools.com/,3445,0,2615
1674044255691,3554,HTTP Request,200,OK,Thread_Group_1 1-27,text,true,,119681,119,14,14,https://www.w3schools.com/,2722,0,1973
1674044255045,4231,HTTP Request,200,OK,Thread_Group_1 1-2,text,true,,119681,119,13,13,https://www.w3schools.com/,4004,0,2571
1674044255971,3314,HTTP Request,200,OK,Thread_Group_1 1-34,text,true,,119681,119,12,12,https://www.w3schools.com/,2582,0,1694
1674044256230,3060,HTTP Request,200,OK,Thread_Group_1 1-39,text,true,,119681,119,11,11,https://www.w3schools.com/,2483,0,1405
1674044255376,3961,HTTP Request,200,OK,Thread_Group_1 1-19,text,true,,119681,119,10,10,https://www.w3schools.com/,2416,0,2235
1674044255810,3603,HTTP Request,200,OK,Thread_Group_1 1-30,text,true,,119681,119,9,9,https://www.w3schools.com/,2551,0,1870
1674044256489,2939,HTTP Request,200,OK,Thread_Group_1 1-47,text,true,,119681,119,8,8,https://www.w3schools.com/,1798,0,1147
1674044255574,3898,HTTP Request,200,OK,Thread_Group_1 1-24,text,true,,119681,119,7,7,https://www.w3schools.com/,2958,0,2038
1674044255534,3941,HTTP Request,200,OK,Thread_Group_1 1-23,text,true,,119681,119,6,6,https://www.w3schools.com/,3105,0,2157
1674044256264,3342,HTTP Request,200,OK,Thread_Group_1 1-40,text,true,,119681,119,5,5,https://www.w3schools.com/,1527,0,1394
1674044256368,3274,HTTP Request,200,OK,Thread_Group_1 1-43,text,true,,119681,119,4,4,https://www.w3schools.com/,2234,0,1244
1674044255175,4472,HTTP Request,200,OK,Thread_Group_1 1-14,text,true,,119681,119,3,3,https://www.w3schools.com/,3852,0,2472
1674044255047,4794,HTTP Request,200,OK,Thread_Group_1 1-3,text,true,,119681,119,2,2,https://www.w3schools.com/,3956,0,2594
1674044255045,4946,HTTP Request,200,OK,Thread_Group_1 1-1,text,true,,119681,119,1,1,https://www.w3schools.com/,3593,0,2633
